,0
0,17
1,5
2,10
3,23
4,16
5,15
6,33
7,3
8,13
9,4
10,3
11,44
12,8
13,3
14,28
15,6
16,16
17,10
18,5
19,6
20,33
21,8
22,2
23,35
24,20
25,5
26,25
27,16
28,23
29,2
30,4
31,9
32,0
33,15
34,0
35,40
36,12
37,14
38,2
39,8
40,29
41,5
42,20
43,9
44,7
45,0
46,5
47,7
48,1
49,5
50,8
51,20
52,15
53,4
54,3
55,3
56,4
57,15
58,33
59,15
60,34
61,0
62,30
63,8
64,8
65,15
66,8
67,3
68,2
69,31
70,42
71,4
72,25
73,32
74,30
75,2
76,4
77,6
78,18
79,23
80,2
81,5
82,40
83,8
84,3
85,8
86,13
87,8
88,3
89,35
90,28
91,5
92,4
93,2
94,35
95,31
96,7
97,13
98,2
99,16
100,35
101,8
102,32
103,7
104,7
105,20
106,7
107,3
108,4
109,1
110,32
111,27
112,18
113,18
114,15
115,41
116,3
117,24
118,29
119,29
120,7
121,33
122,38
123,9
124,0
125,33
126,3
127,1
128,3
129,4
130,6
131,4
132,29
133,2
134,33
135,3
136,33
137,48
138,8
139,10
140,0
141,23
142,34
143,14
144,15
145,21
146,17
147,15
148,7
149,17
150,3
151,18
152,22
153,4
154,3
155,30
156,36
157,11
158,17
159,6
160,3
161,3
162,17
163,38
164,5
165,6
166,20
167,27
168,2
169,35
170,32
171,30
172,25
173,2
174,2
175,1
176,24
177,15
178,17
179,6
180,15
181,8
182,7
183,38
184,25
185,6
186,3
187,29
188,16
189,8
190,1
191,44
192,26
193,3
194,32
195,5
196,15
197,3
198,29
199,16
200,3
201,0
202,7
203,37
204,10
205,9
206,5
207,32
208,15
209,12
210,8
211,5
212,5
213,25
214,17
215,17
216,36
217,3
218,28
219,3
220,41
221,4
222,2
223,23
224,23
225,8
226,28
227,37
228,17
229,12
230,4
231,25
232,21
233,0
234,0
235,26
236,23
237,5
238,1
239,6
240,38
241,0
242,12
243,29
244,3
245,2
246,2
247,17
248,31
249,2
250,5
251,32
252,16
253,13
254,1
255,3
256,13
257,12
258,11
259,41
260,4
261,42
262,1
263,26
264,24
265,2
266,10
267,5
268,0
269,1
270,16
271,17
272,31
273,5
274,6
275,4
276,5
277,16
278,16
279,33
280,15
281,8
282,26
283,32
284,29
285,30
286,31
287,23
288,27
289,31
290,29
291,15
292,17
293,13
294,12
295,8
296,0
297,2
298,7
299,5
300,42
301,7
302,2
303,2
304,2
305,2
306,32
307,20
308,4
309,7
310,6
311,12
312,8
313,0
314,1
315,0
316,7
317,10
318,0
319,27
320,37
321,4
322,2
323,9
324,8
325,20
326,2
327,0
328,10
329,7
330,32
331,4
332,2
333,25
334,31
335,16
336,3
337,40
338,4
339,15
340,25
341,5
342,12
343,7
344,25
345,7
346,30
347,3
348,18
349,15
350,7
351,3
352,4
353,28
354,17
355,15
356,15
357,16
358,16
359,9
360,29
361,5
362,4
363,5
364,2
365,34
366,23
367,1
368,31
369,0
370,6
371,15
372,6
373,9
374,4
375,33
376,1
377,30
378,3
379,34
380,5
381,33
382,1
383,41
384,29
385,32
386,15
387,2
388,22
389,4
390,27
391,38
392,5
393,9
394,8
395,0
396,31
397,4
398,4
399,16
400,43
401,10
402,2
403,3
404,26
405,16
406,4
407,6
408,1
409,31
410,26
411,37
412,9
413,19
414,7
415,3
416,7
417,28
418,11
419,27
420,29
421,17
422,7
