True Count,Predicted Count,Error
15,14,1
17,15,2
45,42,3
31,26,5
22,20,2
1,9,8
45,51,6
41,35,6
16,15,1
24,21,3
27,26,1
45,46,1
33,30,3
16,15,1
27,25,2
17,16,1
9,9,0
10,8,2
13,8,5
77,22,55
4,5,1
37,31,6
26,27,1
34,30,4
1,8,7
42,39,3
13,16,3
29,29,0
2,2,0
27,23,4
5,9,4
36,31,5
8,7,1
22,21,1
45,38,7
39,36,3
1,4,3
3,2,1
37,36,1
45,45,0
32,33,1
3,1,2
12,13,1
8,8,0
1,1,0
29,30,1
20,17,3
42,40,2
39,33,6
5,8,3
29,27,2
28,28,0
29,30,1
45,38,7
24,20,4
15,15,0
6,7,1
0,0,0
14,16,2
34,30,4
16,15,1
19,24,5
36,33,3
51,12,39
39,38,1
17,15,2
37,35,2
3,6,3
33,32,1
15,15,0
26,30,4
1,1,0
42,33,9
35,31,4
30,28,2
36,34,2
2,3,1
35,38,3
17,15,2
8,9,1
36,38,2
24,22,2
26,23,3
28,27,1
0,0,0
24,22,2
3,3,0
15,14,1
23,22,1
32,34,2
9,7,2
21,24,3
30,27,3
35,35,0
17,19,2
27,23,4
30,29,1
37,29,8
30,30,0
17,15,2
0,0,0
29,28,1
0,1,1
7,6,1
37,38,1
3,5,2
22,22,0
41,34,7
11,12,1
32,28,4
12,14,2
0,2,2
21,21,0
34,30,4
2,3,1
29,31,2
17,16,1
40,31,9
38,38,0
25,24,1
27,28,1
7,6,1
16,15,1
27,28,1
33,30,3
13,14,1
4,2,2
40,37,3
33,32,1
35,31,4
0,0,0
42,41,1
32,34,2
15,15,0
26,21,5
24,24,0
2,2,0
17,16,1
1,1,0
36,33,3
25,23,2
16,15,1
29,30,1
4,3,1
24,24,0
3,3,0
32,29,3
0,0,0
32,31,1
7,8,1
17,16,1
1,8,7
24,24,0
31,32,1
17,15,2
15,15,0
3,5,2
17,15,2
34,31,3
1,2,1
6,5,1
36,32,4
31,26,5
8,9,1
15,15,0
33,36,3
17,15,2
26,27,1
17,16,1
30,28,2
8,10,2
6,6,0
37,34,3
35,34,1
26,27,1
17,16,1
35,35,0
37,34,3
5,5,0
34,36,2
34,30,4
0,4,4
6,5,1
6,5,1
29,27,2
26,26,0
15,14,1
18,15,3
40,40,0
1,1,0
23,24,1
25,32,7
43,38,5
16,14,2
5,7,2
31,31,0
3,4,1
31,31,0
26,26,0
39,35,4
26,25,1
6,3,3
13,14,1
38,33,5
7,7,0
13,10,3
20,20,0
19,18,1
2,3,1
41,39,2
37,32,5
17,16,1
2,2,0
26,23,3
27,26,1
7,8,1
28,29,1
44,39,5
48,43,5
20,23,3
4,4,0
32,31,1
7,4,3
15,14,1
3,6,3
30,30,0
4,5,1
1,8,7
18,13,5
1,3,2
25,29,4
31,30,1
17,12,5
5,9,4
30,26,4
15,14,1
7,7,0
34,34,0
29,27,2
17,16,1
15,20,5
3,5,2
25,24,1
40,44,4
1,4,3
17,18,1
1,1,0
2,2,0
41,38,3
23,23,0
23,24,1
26,29,3
31,26,5
44,41,3
3,5,2
7,8,1
6,6,0
23,20,3
4,5,1
2,4,2
23,22,1
27,27,0
14,13,1
39,42,3
19,17,2
28,27,1
30,22,8
7,8,1
12,12,0
19,20,1
28,24,4
36,26,10
37,35,2
2,2,0
16,15,1
0,0,0
15,15,0
31,27,4
16,15,1
23,21,2
43,39,4
2,2,0
47,48,1
33,26,7
33,29,4
45,38,7
41,34,7
4,4,0
32,28,4
37,32,5
26,32,6
7,8,1
25,26,1
30,34,4
49,45,4
3,2,1
5,5,0
17,16,1
17,15,2
2,1,1
45,42,3
42,34,8
4,2,2
3,3,0
10,12,2
28,25,3
5,5,0
0,0,0
6,11,5
26,25,1
8,7,1
32,30,2
37,39,2
35,37,2
15,15,0
25,26,1
6,5,1
12,13,1
23,25,2
39,36,3
26,21,5
45,41,4
29,26,3
24,24,0
11,14,3
8,7,1
35,34,1
29,26,3
36,33,3
9,8,1
18,17,1
15,14,1
36,33,3
1,4,3
8,7,1
35,35,0
3,5,2
34,30,4
38,37,1
39,34,5
28,23,5
31,28,3
45,39,6
44,42,2
44,38,6
39,38,1
41,37,4
33,34,1
17,16,1
4,4,0
11,9,2
38,41,3
16,15,1
7,7,0
17,19,2
29,24,5
43,32,11
28,27,1
41,40,1
21,20,1
26,22,4
47,45,2
7,5,2
7,6,1
37,32,5
28,29,1
3,12,9
7,8,1
42,40,2
15,15,0
46,40,6
17,15,2
8,8,0
7,5,2
25,24,1
11,10,1
32,30,2
21,22,1
12,13,1
5,12,7
39,38,1
16,15,1
45,41,4
17,15,2
6,7,1
37,27,10
15,15,0
34,30,4
8,9,1
15,14,1
34,32,2
31,25,6
41,41,0
28,33,5
38,30,8
6,6,0
16,15,1
38,40,2
17,16,1
28,28,0
33,29,4
31,36,5
9,8,1
28,25,3
41,41,0
30,28,2
36,38,2
47,47,0
4,5,1
39,38,1
30,31,1
6,7,1
23,23,0
37,36,1
28,27,1
7,5,2
3,5,2
16,15,1
31,30,1
22,21,1
42,36,6
31,36,5
28,31,3
6,8,2
5,4,1
49,45,4
20,20,0
36,29,7
33,36,3
32,29,3
14,14,0
5,4,1
11,10,1
6,7,1
28,28,0
36,37,1
29,30,1
36,39,3
23,22,1
5,5,0
34,35,1
43,40,3
21,20,1
6,4,2
29,25,4
37,41,4
29,28,1
19,10,9
15,15,0
3,8,5
0,6,6
5,7,2
4,5,1
40,36,4
29,28,1
40,41,1
20,19,1
4,5,1
6,8,2
16,15,1
4,6,2
15,14,1
16,16,0
32,31,1
16,15,1
47,46,1
19,19,0
36,32,4
16,15,1
41,42,1
20,17,3
7,8,1
4,5,1
33,33,0
21,19,2
33,29,4
31,33,2
28,28,0
31,30,1
3,2,1
2,2,0
41,46,5
36,36,0
39,38,1
16,13,3
6,8,2
11,23,12
6,7,1
37,31,6
15,15,0
33,28,5
34,30,4
16,16,0
15,5,10
40,40,0
31,28,3
42,42,0
1,6,5
14,12,2
42,38,4
43,47,4
4,4,0
22,23,1
17,15,2
29,27,2
3,2,1
6,9,3
44,42,2
3,3,0
15,15,0
0,0,0
42,35,7
6,5,1
32,33,1
29,23,6
15,15,0
41,33,8
37,33,4
33,27,6
15,15,0
21,13,8
9,9,0
5,5,0
42,38,4
2,1,1
8,7,1
3,2,1
35,32,3
15,15,0
38,33,5
29,25,4
35,29,6
28,28,0
6,7,1
42,39,3
38,35,3
48,43,5
37,35,2
5,7,2
7,10,3
36,31,5
5,4,1
15,15,0
40,40,0
0,0,0
23,13,10
35,42,7
12,14,2
29,27,2
16,15,1
28,28,0
0,0,0
35,34,1
34,30,4
46,44,2
16,14,2
35,30,5
2,1,1
3,5,2
37,35,2
34,32,2
17,15,2
6,8,2
23,24,1
27,26,1
23,23,0
3,3,0
44,38,6
11,6,5
28,33,5
26,27,1
15,14,1
8,10,2
8,8,0
2,4,2
3,4,1
16,15,1
31,29,2
28,27,1
6,6,0
5,7,2
6,5,1
35,34,1
34,27,7
6,6,0
0,0,0
23,22,1
4,5,1
42,43,1
49,46,3
45,45,0
4,5,1
0,0,0
16,15,1
17,16,1
15,15,0
26,25,1
8,10,2
31,28,3
55,28,27
15,15,0
11,8,3
37,30,7
35,33,2
0,0,0
29,28,1
9,8,1
11,10,1
26,30,4
16,17,1
26,27,1
0,1,1
30,28,2
4,6,2
30,36,6
35,33,2
34,30,4
32,27,5
1,1,0
29,24,5
35,29,6
23,26,3
43,39,4
35,32,3
27,27,0
6,8,2
32,29,3
6,8,2
37,36,1
26,26,0
15,14,1
34,30,4
32,24,8
47,45,2
15,15,0
40,36,4
7,5,2
5,6,1
0,0,0
11,8,3
33,30,3
27,26,1
23,23,0
27,24,3
28,18,10
28,30,2
33,41,8
29,38,9
29,27,2
3,5,2
0,0,0
28,24,4
34,30,4
33,35,2
4,3,1
48,45,3
28,33,5
30,35,5
43,37,6
9,9,0
32,30,2
11,8,3
29,28,1
37,32,5
41,42,1
17,15,2
33,33,0
35,32,3
31,31,0
5,5,0
14,15,1
35,34,1
34,32,2
6,4,2
32,30,2
38,29,9
2,1,1
9,7,2
41,37,4
9,6,3
5,6,1
42,41,1
40,37,3
28,24,4
16,15,1
30,27,3
16,14,2
25,24,1
1,3,2
15,15,0
33,33,0
16,15,1
29,30,1
4,4,0
19,21,2
33,33,0
36,33,3
32,29,3
30,30,0
16,15,1
19,21,2
3,3,0
15,15,0
40,39,1
33,28,5
2,5,3
33,29,4
27,27,0
33,29,4
32,30,2
30,26,4
5,5,0
26,24,2
28,25,3
15,15,0
17,16,1
6,6,0
7,8,1
38,30,8
7,6,1
3,8,5
7,8,1
44,33,11
26,26,0
6,5,1
9,7,2
28,28,0
45,37,8
35,36,1
42,41,1
8,6,2
8,8,0
4,3,1
26,24,2
30,29,1
23,22,1
38,39,1
17,15,2
13,12,1
29,28,1
33,34,1
30,26,4
31,30,1
37,35,2
35,35,0
25,26,1
16,15,1
3,3,0
22,19,3
41,42,1
15,13,2
3,2,1
45,45,0
4,4,0
17,15,2
34,34,0
7,8,1
32,30,2
44,44,0
37,30,7
36,35,1
28,27,1
31,31,0
